source_subject,target_subject,proxy_a_distance,coral_distance,proxy_rank,coral_rank,selection_score,probe_selected_count,probe_selected_fraction_of_cap,probe_candidate_coverage,probe_pseudo_balance,probe_agreement,probe_trial_coherence,probe_mean_selected_conf,probe_transferability_score,selection_stage,selected_source
s15,s19,2.0,7.362611234333629,3.0,18.0,21.0,,,,,,,,,stage1_pruned,s18
s30,s19,2.0,7.446248918476488,3.0,20.0,23.0,,,,,,,,,stage1_pruned,s18
s32,s19,2.0,7.6351756622647935,3.0,21.0,24.0,,,,,,,,,stage1_pruned,s18
s25,s19,2.0,7.948862742062458,3.0,22.0,25.0,,,,,,,,,stage1_pruned,s18
s03,s19,2.0,7.987116331997226,3.0,23.0,26.0,,,,,,,,,stage1_pruned,s18
s13,s19,2.0,8.178740261147892,3.0,24.0,27.0,,,,,,,,,stage1_pruned,s18
s05,s19,1.9833333333333334,8.545081506729273,2.0,26.0,28.0,,,,,,,,,stage1_pruned,s18
s11,s19,2.0,8.355462755137658,3.0,25.0,28.0,,,,,,,,,stage1_pruned,s18
s31,s19,2.0,8.913132646703183,3.0,27.0,30.0,,,,,,,,,stage1_pruned,s18
s12,s19,2.0,9.160884514315574,3.0,28.0,31.0,,,,,,,,,stage1_pruned,s18
s24,s19,2.0,9.816905191588452,3.0,29.0,32.0,,,,,,,,,stage1_pruned,s18
s14,s19,1.9833333333333334,11.424060073884117,2.0,31.0,33.0,,,,,,,,,stage1_pruned,s18
s21,s19,2.0,10.03200479257147,3.0,30.0,33.0,,,,,,,,,stage1_pruned,s18
s18,s20,2.0,4.9969628349966015,3.0,3.0,6.0,56.0,0.9333333333333333,0.05603448275862069,0.8666666666666667,1.0,0.7301724137931034,0.8325614808024445,0.7122027866838003,stage2_probe,s18
